-1	0.565	0.45	0.135	0.9885	0.387	0.1495	0.31	12
1	0.515	0.405	0.13	0.722	0.32	0.131	0.21	10
-1	0.575	0.46	0.19	0.994	0.392	0.2425	0.34	13
1	0.645	0.485	0.215	1.514	0.546	0.2615	0.635	16
-1	0.58	0.455	0.17	0.9075	0.374	0.2135	0.285	13
-1	0.575	0.46	0.165	1.124	0.2985	0.1785	0.44	13
1	0.605	0.465	0.165	1.056	0.4215	0.2475	0.34	13
-1	0.605	0.485	0.16	1.222	0.53	0.2575	0.28	13
1	0.61	0.485	0.175	1.2445	0.544	0.297	0.345	12
-1	0.725	0.56	0.21	2.141	0.65	0.398	1.005	18
-1	0.65	0.545	0.23	1.752	0.5605	0.2895	0.815	16
1	0.725	0.57	0.19	2.55	1.0705	0.483	0.725	14
-1	0.725	0.575	0.175	2.124	0.765	0.4515	0.85	20
-1	0.68	0.57	0.205	1.842	0.625	0.408	0.65	20
1	0.705	0.56	0.22	1.981	0.8175	0.3085	0.76	14
-1	0.68	0.515	0.175	1.6185	0.5125	0.409	0.62	12
1	0.695	0.55	0.215	1.9565	0.7125	0.541	0.59	14
-1	0.53	0.395	0.145	0.775	0.308	0.169	0.255	7
